ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
60487,John Stewart King,M,25.0,183.0,72.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,
60509,Trevor King,M,27.0,185.0,78.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 10 kilometres Sprint,
60509,Trevor King,M,27.0,185.0,78.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 20 kilometres,
60509,Trevor King,M,27.0,185.0,78.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
60716,Suzanne Kirk,F,23.0,181.0,65.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,
60749,"James William ""Jimmy"" Kirkwood",M,26.0,182.0,80.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,Gold
61580,Peter Knowles,M,30.0,177.0,77.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Men's Singles,
61580,Peter Knowles,M,30.0,177.0,77.0,Great Britain-1,GBR,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Men's Doubles,
61583,"Deborah ""Debbie"" Knox",F,33.0,167.0,66.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,Gold
61583,"Deborah ""Debbie"" Knox",F,37.0,167.0,66.0,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Curling,Curling Women's Curling,
62671,Raymond Kopka,M,20.0,185.0,100.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,
64317,"Alexander Eaton ""Alex"" Kruger",M,24.0,193.0,90.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,
64399,Richard Adam Kruse,M,21.0,190.0,84.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",
65789,Du'aine Ladejo (Thorne-),M,21.0,187.0,84.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
65980,Simone Lucy Laidlaw (Gandy-),F,23.0,172.0,52.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 400 metres Hurdles,
66140,"Christopher Patrick ""Chris"" Lambert",M,23.0,189.0,83.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,
66478,Lisa Martine Langford-Kehler,F,25.0,168.0,47.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 10 kilometres Walk,
66478,Lisa Martine Langford-Kehler,F,33.0,168.0,47.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 20 kilometres Walk,
66485,Mark Langin,M,25.0,184.0,78.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 10 kilometres Sprint,
66485,Mark Langin,M,25.0,184.0,78.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 20 kilometres,
66485,Mark Langin,M,25.0,184.0,78.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
66489,Tracy Langlands,F,34.0,169.0,56.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Lightweight Double Sculls,
66508,Sean Langmuir,M,24.0,,,Great Britain,GBR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
66508,Sean Langmuir,M,24.0,,,Great Britain,GBR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,
66508,Sean Langmuir,M,24.0,,,Great Britain,GBR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Combined,
66517,"Matthew Keir ""Matt"" Langridge",M,21.0,194.0,93.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,
66959,Jason George Laslett,M,23.0,178.0,74.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,
67208,Elise Mary Laverick (-Sherwell),F,25.0,178.0,73.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,
67208,Elise Mary Laverick (-Sherwell),F,29.0,178.0,73.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Double Sculls,Bronze
67283,Leslie Francis Law,M,35.0,183.0,74.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
67283,Leslie Francis Law,M,39.0,183.0,74.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
67283,Leslie Francis Law,M,39.0,183.0,74.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
67298,Ivan Lawler,M,21.0,180.0,80.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
67298,Ivan Lawler,M,21.0,180.0,80.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
67298,Ivan Lawler,M,25.0,180.0,80.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
67299,Janine Lawler,F,23.0,170.0,66.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
67299,Janine Lawler,F,23.0,170.0,66.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",
67330,"Philip ""Phil"" Lawrence",M,37.0,186.0,105.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Keelboat,
67356,Ian Lawson,M,27.0,185.0,95.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Single Sculls,
67360,Paul William Lawson,M,25.0,193.0,91.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Heavyweight,
67368,Kirsten Lawton,F,23.0,163.0,55.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Trampolining,Trampolining Women's Individual,
67513,Diane Le Grelle,F,40.0,168.0,60.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Mixed Skeet,
67597,Edward P. S. Leask,M,41.0,198.0,103.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Three Person Keelboat,
67600,Paul H. F. Leatherdale,M,29.0,185.0,91.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres",
67600,Paul H. F. Leatherdale,M,29.0,185.0,91.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Free Pistol, 50 metres",
67874,Georgina Anne Lee,F,19.0,173.0,62.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Butterfly,
67874,Georgina Anne Lee,F,22.0,173.0,62.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
67874,Georgina Anne Lee,F,22.0,173.0,62.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Butterfly,
67874,Georgina Anne Lee,F,22.0,173.0,62.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Butterfly,
67874,Georgina Anne Lee,F,22.0,173.0,62.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
67988,Jason David Lee,M,22.0,177.0,79.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,
68040,Karen Tracey Lee,F,21.0,174.0,64.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,
68090,Roland George Lee,M,24.0,194.0,87.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,
68090,Roland George Lee,M,24.0,194.0,87.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
68090,Roland George Lee,M,24.0,194.0,87.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
68090,Roland George Lee,M,24.0,194.0,87.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
68090,Roland George Lee,M,27.0,194.0,87.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
68090,Roland George Lee,M,27.0,194.0,87.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
68150,Sharon Denise Lee,F,29.0,175.0,72.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Heavyweight,
68316,Karen Legg (-Crumpler),F,22.0,163.0,59.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
68519,Richard Neil Leishman,M,22.0,182.0,76.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Butterfly,
68519,Richard Neil Leishman,M,22.0,182.0,76.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
68613,Richard Alexander Leman,M,29.0,179.0,75.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,Gold
68724,Katy Lennon,F,19.0,153.0,45.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,
68724,Katy Lennon,F,19.0,153.0,45.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,
68724,Katy Lennon,F,19.0,153.0,45.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,
68724,Katy Lennon,F,19.0,153.0,45.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,
68724,Katy Lennon,F,19.0,153.0,45.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,
68724,Katy Lennon,F,19.0,153.0,45.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,
68793,Alec Leonce,M,25.0,193.0,91.0,Great Britain-1,GBR,1988 Winter,1988,Winter,Calgary,Bobsleigh,Bobsleigh Men's Two,
68793,Alec Leonce,M,25.0,193.0,91.0,Great Britain-2,GBR,1988 Winter,1988,Winter,Calgary,Bobsleigh,Bobsleigh Men's Four,
69010,Simon Christopher Lessing,M,29.0,192.0,78.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Triathlon,Triathlon Men's Olympic Distance,
69103,James Leuzinger,M,23.0,191.0,93.0,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,
69221,Denise Lewis,F,28.0,176.0,68.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,Gold
69221,Denise Lewis,F,31.0,176.0,68.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,
69236,"James ""Jimi"" Lewis",M,30.0,180.0,74.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,
69256,Sarah Lewis,F,23.0,157.0,56.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
69256,Sarah Lewis,F,23.0,157.0,56.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Slalom,
69269,Mark Anthony Lewis-Francis,M,21.0,183.0,89.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,
69269,Mark Anthony Lewis-Francis,M,21.0,183.0,89.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
69739,Michael Liebreich,M,28.0,170.0,65.0,Great Britain,GBR,1992 Winter,1992,Winter,Albertville,Freestyle Skiing,Freestyle Skiing Men's Moguls,
69837,Karen Theresa Like,F,25.0,166.0,58.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, Slalom",
69880,Simon Austin Lillistone,M,19.0,183.0,76.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
69880,Simon Austin Lillistone,M,23.0,183.0,76.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's Points Race,
70245,Andrew James Ronald Lindsay,M,23.0,185.0,93.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Gold
70248,Gillian Anne Lindsay,F,18.0,183.0,73.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,
70248,Gillian Anne Lindsay,F,26.0,183.0,73.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,Silver
70255,Sarah Diane T. Lindsay,F,21.0,172.0,60.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,
70255,Sarah Diane T. Lindsay,F,21.0,172.0,60.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",
70255,Sarah Diane T. Lindsay,F,21.0,172.0,60.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",
70255,Sarah Diane T. Lindsay,F,25.0,172.0,60.0,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,
70255,Sarah Diane T. Lindsay,F,25.0,172.0,60.0,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",
70255,Sarah Diane T. Lindsay,F,25.0,172.0,60.0,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",
70294,Elizabeth Line,F,19.0,152.0,55.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,
70294,Elizabeth Line,F,19.0,152.0,55.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,
70294,Elizabeth Line,F,19.0,152.0,55.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,
70301,"Edward Theodore ""Ed"" Ling",M,21.0,180.0,80.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Trap,
70487,"Sandra Denise ""Sandie"" Lister",F,30.0,164.0,62.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,Bronze
70728,Judy Earline Veronica Livermore-Simpson,F,27.0,182.0,72.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,
70824,John Patrick Llewellyn,M,31.0,178.0,70.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Individual",
70904,Noel O. Loban,M,31.0,190.0,100.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
70973,"Jacqueline ""Jackie"" Lockhart (Steele-)",F,40.0,177.0,70.0,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Curling,Curling Women's Curling,
70988,"David Henry ""Harry"" Lodge",M,20.0,185.0,73.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,
71133,Lisa Jane Lomas,F,25.0,168.0,63.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Singles,
71133,Lisa Jane Lomas,F,25.0,168.0,63.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Doubles,
71197,"David ""Dave"" Long",M,27.0,180.0,71.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,
71197,"David ""Dave"" Long",M,31.0,180.0,71.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,
71213,Zara Letitia Long,F,17.0,170.0,66.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Individual Medley,
71218,Peter Longbottom,M,33.0,173.0,63.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,
71573,"Ann Jennifer Francis ""Jennie"" Loriston-Clarke (Bullen-)",F,45.0,172.0,65.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Individual",
71573,"Ann Jennifer Francis ""Jennie"" Loriston-Clarke (Bullen-)",F,45.0,172.0,65.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Team",
71661,Peter Loudon,M,35.0,193.0,91.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Men's Curling,
72063,David James Luckes,M,32.0,185.0,83.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,
72067,Benjamin Jesse D. Luckwell,M,22.0,186.0,75.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,
72219,Wendy Lumby,F,21.0,155.0,51.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Downhill,
72219,Wendy Lumby,F,21.0,155.0,51.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Super G,
72219,Wendy Lumby,F,21.0,155.0,51.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
72219,Wendy Lumby,F,21.0,155.0,51.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Combined,
72429,"Victoria Anne ""Vicky"" Lupton",F,20.0,160.0,57.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 10 kilometres Walk,
72657,John Patrick Lyon,M,26.0,163.0,51.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,
72868,Ewan MacDonald,M,26.0,177.0,85.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Men's Curling,
72868,Ewan MacDonald,M,30.0,177.0,85.0,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,
72870,Fiona MacDonald (Brown-),F,27.0,160.0,52.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,Gold
72907,Dean Alan Macey,M,22.0,196.0,92.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,
72907,Dean Alan Macey,M,26.0,196.0,92.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,
